Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
medical cannabis south australia,86,70,0.15,https://www.dispensed.com.au/,24,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches"
medical marijuanas townsville,64,70,0.15,https://www.dispensed.com.au/,0,24.49,informational,"ai_overview,organic,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
medical weed brisbane,55,70,0.15,https://www.dispensed.com.au/,27,45.13,commercial,"ai_overview,organic,discussions_and_forums,related_searches"
medical weed melbourne,30,70,0.15,https://www.dispensed.com.au/,30,49.57,commercial,"ai_overview,organic,people_also_ask,related_searches,images"
medical weed perth,36,70,0.15,https://www.dispensed.com.au/,7,47.3,informational,"ai_overview,organic,people_also_ask,related_searches,images"
medical weed review,48,70,0.15,https://www.dispensed.com.au/,26,0,informational,"organic,discussions_and_forums,people_also_ask,related_searches"
medicinal cannabinoids canberra,57,70,0.15,https://www.dispensed.com.au/,3,0,informational,"ai_overview,organic,discussions_and_forums,related_searches"
non prescription,67,70,0.15,https://www.dispensed.com.au/location/perth,0,0,informational,"ai_overview,organic,people_also_ask,video,related_searches,images"
online scripts perth,75,70,0.15,https://www.dispensed.com.au/location/perth,8,18.43,commercial,"organic,people_also_ask,related_searches"
thc vape pen australia prescription,41,70,0.15,https://www.dispensed.com.au/,0,0,transactional,"ai_overview,organic,people_also_ask,related_searches,images"
weed prescription australia,43,70,0.15,https://www.dispensed.com.au/,30,54.87,informational,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
weed prescription melbourne,32,70,0.15,https://www.dispensed.com.au/,32,0,commercial,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
wellness and well being,61,70,0.15,https://www.dispensed.com.au/blog/what-is-wellbeing,50,2.76,informational,"ai_overview,organic,people_also_ask,video,images,scholarly_articles,related_searches"
weed prescription nsw,30,70,0.14,https://www.dispensed.com.au/,27,45.88,informational,"paid,ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
australia access clinic,30,50,0.1,https://www.dispensed.com.au/,2,29.08,navigational,"organic,local_pack,people_also_ask,related_searches"
consult medical,75,50,0.1,https://www.dispensed.com.au/,48,21.02,informational,"ai_overview,organic,people_also_ask,related_searches"
dispensary adelaide,46,50,0.1,https://www.dispensed.com.au/,15,28.65,navigational,"local_pack,organic,discussions_and_forums,related_searches"
medical cannabis townsville,58,50,0.1,https://www.dispensed.com.au/,0,0,informational,"ai_overview,organic,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
medical thc australia,59,50,0.1,https://www.dispensed.com.au/,29,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
medicinal weed nsw,39,50,0.1,https://www.dispensed.com.au/,27,40.51,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches,images"
micann australia,34,50,0.1,https://www.dispensed.com.au/,13,24.1,informational,"organic,people_also_ask,ai_overview,related_searches"
online vape prescription,70,50,0.1,https://www.dispensed.com.au/,18,0,transactional,"organic,people_also_ask,related_searches"
polln clinic,31,50,0.1,https://www.dispensed.com.au/,0,14.68,informational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
polln dashboard,38,50,0.1,https://app.dispensed.com.au/accounts/login/,0,0,navigational,"organic,related_searches"
polln medical,23,50,0.1,https://www.dispensed.com.au/,0,17.67,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
thc medication,73,50,0.1,https://www.dispensed.com.au/,38,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
weed apps australia,41,50,0.1,https://www.dispensed.com.au/,46,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches"
easykind australia,30,50,0.1,https://www.dispensed.com.au/,10,8.08,commercial,"organic,people_also_ask,paid,related_searches,knowledge_graph,google_reviews,third_party_reviews"
telehealth cannabis,25,40,0.08,https://www.dispensed.com.au/,29,0,informational,"organic,people_also_ask,related_searches"
veteran can,38,40,0.08,https://dev-veterancann.dispensed.com.au/,24,0,informational,"organic,people_also_ask,related_searches"
free consultation with doctor,21,20,0.05,https://www.dispensed.com.au/,45,9.13,informational,"organic,people_also_ask,local_pack,related_searches"
