Keyword,Position,Search Volume,Traffic,URL,Keyword Difficulty,CPC,Keyword Intents,SERP Features by Keyword
gut microbiome food,77,90,0.19,https://greencare.com.au/you-are-what-you-eat-foods-to-help-improve-your-gut-microbiome/,24,0.49,informational,"ai_overview,organic,people_also_ask,scholarly_articles,related_searches,images"
gut microbiome foods,54,90,0.19,https://greencare.com.au/you-are-what-you-eat-foods-to-help-improve-your-gut-microbiome/,31,0.49,informational,"ai_overview,organic,people_also_ask,video,scholarly_articles,related_searches,images"
healthcare greenacre,23,90,0.19,https://greencare.com.au/,0,0.35,navigational,"organic,local_pack,related_searches"
is stretching good for you,59,90,0.19,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,24,4.71,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches"
medical cannabis providers,73,90,0.19,https://greencare.com.au/,24,0,commercial,"organic,local_pack,related_searches"
medicinal cannabis clinic australia,52,90,0.19,https://greencare.com.au/,28,0,informational,"local_pack,organic,related_searches"
medigreen dispensary carnegie,35,90,0.19,https://greencare.com.au/,0,1.05,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
my green medical annerley,28,90,0.19,https://greencare.com.au/,0,16.41,navigational,"organic,people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph"
my green medical nerang,39,90,0.19,https://greencare.com.au/,0,15.89,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph,images"
spa hot and cold,40,90,0.19,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,0,1.37,informational,"ai_overview,organic,people_also_ask,people_also_search,related_searches,images"
ice bath therapy,20,70,0.17,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,21,3.61,informational,"ai_overview,organic,people_also_ask,local_pack,related_searches,images"
benefits of cold therapy,22,70,0.15,https://greencare.com.au/are-there-benefits-to-hot-and-cold-therapy/,50,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
calm peaceful,22,70,0.15,https://greencare.com.au/cultivating-a-sense-of-calm-your-guide-to-inner-peace/,28,0,informational,"organic,people_also_ask,video,related_searches,images"
cann clinic,50,70,0.15,https://greencare.com.au/,0,22,navigational,"organic,related_searches,knowledge_graph,google_reviews"
evercare australia,34,70,0.15,https://greencare.com.au/,12,1.16,navigational,"organic,people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph"
green life clinic coolangatta,40,70,0.15,https://greencare.com.au/,0,6.33,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
green life clinics coolangatta,44,70,0.15,https://greencare.com.au/,0,6.33,commercial,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,third_party_reviews"
green life clinics toowoomba,77,70,0.15,https://greencare.com.au/,0,8.49,commercial,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
green pharmacy blackwood,26,70,0.15,https://greencare.com.au/,0,2.72,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
greenvibe clinic,31,70,0.15,https://greencare.com.au/,8,5.04,commercial,"organic,related_searches,google_reviews,knowledge_graph"
how to get out of fight or flight,36,70,0.15,https://greencare.com.au/how-to-escape-the-fight-or-flight-mode/,19,0.07,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches"
medical marijuanas townsville,67,70,0.15,https://greencare.com.au/,0,24.49,informational,"ai_overview,organic,discussions_and_forums,related_searches,google_reviews,knowledge_graph"
medigreen clinic,36,70,0.15,https://greencare.com.au/,0,5.45,navigational,"organic,people_also_ask,short_videos,video,related_searches,knowledge_graph,google_reviews"
medreleaf telehealth clinics,37,70,0.15,https://greencare.com.au/,0,5.89,informational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews"
weed prescription melbourne,58,70,0.15,https://greencare.com.au/,32,0,commercial,"ai_overview,organic,discussions_and_forums,people_also_ask,related_searches"
where to buy medical cannabis,88,70,0.15,https://greencare.com.au/,29,21.62,commercial,"local_pack,people_also_ask,organic,discussions_and_forums,related_searches"
medical cannabis free consultation,17,30,0.13,https://greencare.com.au/,35,0,informational,"organic,ai_overview,related_searches"
meditation is good for health,22,50,0.11,https://greencare.com.au/5-ways-meditation-improves-your-physical-health/,56,0,informational,"ai_overview,organic,people_also_ask,related_searches"
self care or self care,19,40,0.11,https://greencare.com.au/is-self-care-the-latest-buzzword-or-is-it-something-we-should-all-be-focusing-on/,32,0,informational,"ai_overview,organic,people_also_ask,related_searches"
australia access clinic,56,50,0.1,https://greencare.com.au/,2,29.08,navigational,"organic,local_pack,people_also_ask,related_searches"
benefits of stretching everyday,71,50,0.1,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,24,0,informational,"ai_overview,people_also_ask,organic,discussions_and_forums,images,related_searches"
cannim group pty ltd,51,50,0.1,https://greencare.com.au/,0,0,navigational,"organic,people_also_ask,related_searches,google_reviews,knowledge_graph"
daily stretching benefits,67,50,0.1,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,10,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,related_searches,images"
functional medicine telemedicine,77,50,0.1,https://greencare.com.au/general-practice/,0,0,informational,"organic,people_also_ask,related_searches"
ice baths health benefits,27,50,0.1,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,46,0.91,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,video,short_videos,related_searches"
medical thc australia,76,50,0.1,https://greencare.com.au/,29,0,informational,"ai_overview,organic,people_also_ask,related_searches,images"
medicanna,47,50,0.1,https://greencare.com.au/,5,0,informational,"organic,related_searches,google_reviews,knowledge_graph,images"
microbiome food,66,50,0.1,https://greencare.com.au/you-are-what-you-eat-foods-to-help-improve-your-gut-microbiome/,55,1.77,informational,"ai_overview,people_also_ask,organic,video,short_videos,related_searches,images"
microbiome foods,54,50,0.1,https://greencare.com.au/you-are-what-you-eat-foods-to-help-improve-your-gut-microbiome/,29,1.77,informational,"ai_overview,organic,people_also_ask,related_searches,images"
online dispensary australia,49,50,0.1,https://greencare.com.au/,35,16.08,commercial,"ai_overview,organic,related_searches"
prevent burnout,57,50,0.1,https://greencare.com.au/the-essential-guide-to-preventing-burnout/,36,0.98,informational,"ai_overview,organic,people_also_ask,video,images,related_searches"
preventing burnout,50,50,0.1,https://greencare.com.au/the-essential-guide-to-preventing-burnout/,37,0.98,informational,"ai_overview,organic,people_also_ask,related_searches,images"
sauna and ice bath benefits,34,50,0.1,https://greencare.com.au/hot-and-cold-for-long-term-health-benefits-of-ice-baths-and-saunas/,0,2.61,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,related_searches,images"
stretching everyday benefits,64,50,0.1,https://greencare.com.au/how-can-regular-stretching-contribute-to-your-long-term-health/,14,0,informational,"ai_overview,organic,people_also_ask,discussions_and_forums,images,related_searches"
tetra health,34,50,0.1,https://greencare.com.au/,0,33.08,navigational,"organic,people_also_ask,related_searches,images"
thrive medical wellness,56,50,0.1,https://greencare.com.au/thrive-through-lifes-changes-womens-health-services-at-greencare/,0,0,navigational,"organic,people_also_ask,related_searches,knowledge_graph,google_reviews,images"
verde clinic perth,40,50,0.1,https://greencare.com.au/,3,0.82,informational,"organic,related_searches,third_party_reviews,google_reviews,knowledge_graph"
wellness here for life,43,50,0.1,https://greencare.com.au/general-practice/,5,32.7,transactional,"organic,related_searches"
werribee dispensary,37,50,0.1,https://greencare.com.au/,15,5.59,navigational,"organic,people_also_ask,related_searches,third_party_reviews,google_reviews,knowledge_graph"
